nodes,run,operation,attempt,latency_ms
9,0,put,0,28.862
9,0,put,1,29.416
9,0,put,2,25.332
9,0,put,3,29.836
9,0,put,4,26.071
9,0,put,5,25.010
9,0,put,6,24.596
9,0,put,7,25.707
9,0,put,8,24.169
9,0,put,9,31.014
9,0,put,10,29.369
9,0,put,11,31.732
9,0,put,12,24.757
9,0,put,13,26.264
9,0,put,14,28.086
9,0,put,15,27.075
9,0,put,16,26.503
9,0,put,17,25.276
9,0,put,18,27.096
9,0,put,19,27.172
9,0,put,20,24.602
9,0,put,21,27.940
9,0,put,22,25.099
9,0,put,23,24.795
9,0,put,24,25.461
9,0,put,25,27.437
9,0,put,26,25.666
9,0,put,27,24.779
9,0,put,28,27.555
9,0,put,29,26.511
9,0,put,30,25.798
9,0,put,31,25.102
9,0,put,32,27.634
9,0,put,33,25.908
9,0,put,34,25.511
9,0,put,35,24.788
9,0,put,36,25.690
9,0,put,37,25.417
9,0,put,38,27.184
9,0,put,39,26.267
9,0,put,40,25.684
9,0,put,41,25.033
9,0,put,42,26.562
9,0,put,43,28.022
9,0,put,44,25.279
9,0,put,45,24.681
9,0,put,46,26.364
9,0,put,47,24.158
9,0,put,48,23.652
9,0,put,49,26.243
9,0,get,0,20.601
9,0,get,1,19.381
9,0,get,2,22.407
9,0,get,3,21.911
9,0,get,4,20.278
9,0,get,5,18.908
9,0,get,6,24.915
9,0,get,7,22.950
9,0,get,8,18.398
9,0,get,9,18.228
9,0,get,10,21.541
9,0,get,11,25.124
9,0,get,12,21.797
9,0,get,13,19.656
9,0,get,14,20.738
9,0,get,15,24.510
9,0,get,16,20.441
9,0,get,17,21.460
9,0,get,18,20.068
9,0,get,19,17.522
9,0,get,20,18.239
9,0,get,21,18.006
9,0,get,22,18.854
9,0,get,23,19.152
9,0,get,24,19.250
9,0,get,25,18.539
9,0,get,26,22.844
9,0,get,27,19.692
9,0,get,28,25.979
9,0,get,29,21.473
9,0,get,30,20.753
9,0,get,31,20.698
9,0,get,32,23.502
9,0,get,33,19.579
9,0,get,34,19.244
9,0,get,35,21.514
9,0,get,36,21.458
9,0,get,37,21.396
9,0,get,38,23.008
9,0,get,39,21.289
9,0,get,40,23.568
9,0,get,41,20.263
9,0,get,42,19.103
9,0,get,43,20.201
9,0,get,44,19.628
9,0,get,45,19.839
9,0,get,46,21.565
9,0,get,47,19.203
9,0,get,48,20.748
9,0,get,49,22.142
9,1,put,0,25.307
9,1,put,1,25.330
9,1,put,2,25.771
9,1,put,3,27.728
9,1,put,4,23.895
9,1,put,5,25.878
9,1,put,6,26.775
9,1,put,7,25.629
9,1,put,8,26.208
9,1,put,9,24.713
9,1,put,10,24.510
9,1,put,11,25.100
9,1,put,12,26.660
9,1,put,13,24.866
9,1,put,14,26.048
9,1,put,15,25.495
9,1,put,16,30.192
9,1,put,17,24.927
9,1,put,18,25.971
9,1,put,19,30.265
9,1,put,20,28.745
9,1,put,21,26.876
9,1,put,22,27.469
9,1,put,23,28.496
9,1,put,24,29.657
9,1,put,25,31.986
9,1,put,26,27.952
9,1,put,27,30.645
9,1,put,28,27.987
9,1,put,29,25.608
9,1,put,30,25.992
9,1,put,31,26.721
9,1,put,32,31.380
9,1,put,33,30.224
9,1,put,34,47.564
9,1,put,35,28.457
9,1,put,36,29.456
9,1,put,37,26.067
9,1,put,38,29.216
9,1,put,39,30.582
9,1,put,40,28.748
9,1,put,41,26.663
9,1,put,42,26.814
9,1,put,43,26.107
9,1,put,44,25.721
9,1,put,45,26.133
9,1,put,46,28.147
9,1,put,47,29.037
9,1,put,48,28.733
9,1,put,49,27.394
9,1,get,0,19.843
9,1,get,1,24.662
9,1,get,2,28.040
9,1,get,3,26.974
9,1,get,4,25.424
9,1,get,5,23.765
9,1,get,6,23.302
9,1,get,7,25.129
9,1,get,8,21.741
9,1,get,9,18.530
9,1,get,10,19.154
9,1,get,11,21.538
9,1,get,12,33.291
9,1,get,13,28.860
9,1,get,14,26.815
9,1,get,15,30.759
9,1,get,16,31.933
9,1,get,17,26.913
9,1,get,18,27.324
9,1,get,19,27.274
9,1,get,20,23.269
9,1,get,21,21.860
9,1,get,22,23.745
9,1,get,23,22.189
9,1,get,24,24.398
9,1,get,25,19.899
9,1,get,26,19.228
9,1,get,27,20.262
9,1,get,28,19.647
9,1,get,29,18.659
9,1,get,30,21.460
9,1,get,31,20.088
9,1,get,32,19.641
9,1,get,33,19.654
9,1,get,34,23.415
9,1,get,35,18.516
9,1,get,36,18.780
9,1,get,37,18.181
9,1,get,38,18.651
9,1,get,39,21.267
9,1,get,40,20.759
9,1,get,41,18.630
9,1,get,42,17.589
9,1,get,43,18.967
9,1,get,44,20.113
9,1,get,45,19.134
9,1,get,46,22.499
9,1,get,47,17.806
9,1,get,48,21.410
9,1,get,49,21.331
9,2,put,0,23.810
9,2,put,1,27.237
9,2,put,2,25.876
9,2,put,3,25.095
9,2,put,4,27.312
9,2,put,5,27.874
9,2,put,6,24.622
9,2,put,7,25.117
9,2,put,8,26.174
9,2,put,9,28.869
9,2,put,10,26.847
9,2,put,11,24.579
9,2,put,12,25.861
9,2,put,13,25.194
9,2,put,14,25.951
9,2,put,15,27.860
9,2,put,16,27.609
9,2,put,17,27.041
9,2,put,18,25.379
9,2,put,19,25.625
9,2,put,20,25.275
9,2,put,21,26.781
9,2,put,22,24.789
9,2,put,23,26.073
9,2,put,24,25.339
9,2,put,25,27.596
9,2,put,26,25.998
9,2,put,27,25.704
9,2,put,28,29.148
9,2,put,29,27.349
9,2,put,30,28.112
9,2,put,31,26.354
9,2,put,32,25.219
9,2,put,33,22.718
9,2,put,34,25.981
9,2,put,35,25.524
9,2,put,36,26.097
9,2,put,37,26.297
9,2,put,38,25.804
9,2,put,39,24.595
9,2,put,40,25.696
9,2,put,41,25.405
9,2,put,42,26.852
9,2,put,43,26.150
9,2,put,44,25.550
9,2,put,45,25.455
9,2,put,46,26.467
9,2,put,47,25.003
9,2,put,48,27.877
9,2,put,49,25.442
9,2,get,0,16.985
9,2,get,1,20.013
9,2,get,2,42.743
9,2,get,3,18.083
9,2,get,4,18.913
9,2,get,5,18.600
9,2,get,6,19.769
9,2,get,7,19.851
9,2,get,8,20.876
9,2,get,9,23.928
9,2,get,10,21.085
9,2,get,11,20.340
9,2,get,12,23.375
9,2,get,13,21.518
9,2,get,14,20.843
9,2,get,15,22.834
9,2,get,16,21.099
9,2,get,17,20.040
9,2,get,18,19.500
9,2,get,19,23.125
9,2,get,20,20.218
9,2,get,21,20.922
9,2,get,22,21.966
9,2,get,23,21.474
9,2,get,24,17.775
9,2,get,25,18.681
9,2,get,26,16.730
9,2,get,27,19.022
9,2,get,28,21.906
9,2,get,29,21.072
9,2,get,30,21.014
9,2,get,31,18.757
9,2,get,32,19.648
9,2,get,33,21.364
9,2,get,34,22.078
9,2,get,35,19.683
9,2,get,36,20.934
9,2,get,37,23.658
9,2,get,38,20.894
9,2,get,39,23.206
9,2,get,40,18.511
9,2,get,41,21.485
9,2,get,42,27.379
9,2,get,43,25.019
9,2,get,44,20.245
9,2,get,45,20.099
9,2,get,46,25.113
9,2,get,47,26.158
9,2,get,48,21.003
9,2,get,49,21.898
9,3,put,0,26.092
9,3,put,1,25.094
9,3,put,2,25.400
9,3,put,3,26.953
9,3,put,4,23.576
9,3,put,5,25.366
9,3,put,6,27.700
9,3,put,7,29.204
9,3,put,8,26.283
9,3,put,9,25.064
9,3,put,10,24.854
9,3,put,11,26.699
9,3,put,12,27.443
9,3,put,13,25.374
9,3,put,14,26.769
9,3,put,15,25.420
9,3,put,16,23.252
9,3,put,17,23.998
9,3,put,18,26.921
9,3,put,19,26.491
9,3,put,20,27.401
9,3,put,21,25.429
9,3,put,22,28.216
9,3,put,23,25.034
9,3,put,24,24.430
9,3,put,25,22.896
9,3,put,26,25.108
9,3,put,27,25.260
9,3,put,28,24.717
9,3,put,29,24.228
9,3,put,30,24.152
9,3,put,31,24.804
9,3,put,32,23.601
9,3,put,33,23.287
9,3,put,34,23.286
9,3,put,35,24.580
9,3,put,36,25.892
9,3,put,37,25.924
9,3,put,40,34.929
9,3,put,41,27.569
9,3,put,42,25.418
9,3,put,43,24.615
9,3,put,44,25.935
9,3,put,45,25.726
9,3,put,46,27.227
9,3,put,47,25.725
9,3,put,48,25.801
9,3,put,49,25.594
9,3,get,0,19.430
9,3,get,1,18.963
9,3,get,3,23.865
9,3,get,4,25.113
9,3,get,5,22.758
9,3,get,6,21.939
9,3,get,7,24.351
9,3,get,8,23.675
9,3,get,9,23.348
9,3,get,10,25.064
9,3,get,11,24.221
9,3,get,12,25.081
9,3,get,13,25.945
9,3,get,14,21.927
9,3,get,15,25.138
9,3,get,16,22.139
9,3,get,17,23.285
9,3,get,18,21.447
9,3,get,19,20.224
9,3,get,20,19.748
9,3,get,21,22.778
9,3,get,22,21.951
9,3,get,23,19.873
9,3,get,24,20.821
9,3,get,25,22.571
9,3,get,26,20.584
9,3,get,27,20.871
9,3,get,28,22.121
9,3,get,29,24.959
9,3,get,30,20.805
9,3,get,31,21.151
9,3,get,32,21.718
9,3,get,33,23.368
9,3,get,34,22.888
9,3,get,35,22.658
9,3,get,36,23.189
9,3,get,37,21.928
9,3,get,38,21.643
9,3,get,39,26.336
9,3,get,40,22.432
9,3,get,41,22.231
9,3,get,42,20.296
9,3,get,43,19.149
9,3,get,44,22.525
9,3,get,45,24.512
9,3,get,46,22.518
9,3,get,47,20.746
9,3,get,48,22.585
9,3,get,49,21.889
9,4,put,0,29.264
9,4,put,1,30.137
9,4,put,2,32.813
9,4,put,3,29.059
9,4,put,4,26.856
9,4,put,5,25.993
9,4,put,6,25.302
9,4,put,7,28.622
9,4,put,8,27.473
9,4,put,9,25.540
9,4,put,10,30.004
9,4,put,11,25.766
9,4,put,12,26.091
9,4,put,13,26.268
9,4,put,14,30.611
9,4,put,15,27.769
9,4,put,16,27.166
9,4,put,17,28.394
9,4,put,18,27.608
9,4,put,19,35.396
9,4,put,20,27.823
9,4,put,21,27.058
9,4,put,22,28.874
9,4,put,23,27.421
9,4,put,24,31.509
9,4,put,25,28.349
9,4,put,26,31.191
9,4,put,27,29.165
9,4,put,28,28.686
9,4,put,29,26.597
9,4,put,30,29.181
9,4,put,31,28.924
9,4,put,32,27.616
9,4,put,33,27.594
9,4,put,34,28.373
9,4,put,35,155.137
9,4,put,36,77.913
9,4,put,37,28.447
9,4,put,38,32.161
9,4,put,39,26.871
9,4,put,40,27.603
9,4,put,41,26.443
9,4,put,42,28.851
9,4,put,43,25.992
9,4,put,44,29.227
9,4,put,45,27.504
9,4,put,46,29.652
9,4,put,47,32.666
9,4,put,48,32.698
9,4,put,49,28.805
9,4,get,0,21.637
9,4,get,1,20.147
9,4,get,2,18.787
9,4,get,3,21.888
9,4,get,4,24.377
9,4,get,5,26.664
9,4,get,6,38.940
9,4,get,7,17.198
9,4,get,8,16.789
9,4,get,9,18.529
9,4,get,10,19.342
9,4,get,11,19.499
9,4,get,12,20.423
9,4,get,13,21.283
9,4,get,14,19.054
9,4,get,15,22.210
9,4,get,16,19.253
9,4,get,17,20.030
9,4,get,18,22.760
9,4,get,19,23.308
9,4,get,20,18.898
9,4,get,21,24.599
9,4,get,22,19.661
9,4,get,23,20.083
9,4,get,24,22.220
9,4,get,25,19.713
9,4,get,26,18.573
9,4,get,27,23.548
9,4,get,28,18.315
9,4,get,29,17.674
9,4,get,30,18.860
9,4,get,31,20.126
9,4,get,32,20.466
9,4,get,33,21.830
9,4,get,34,18.716
9,4,get,35,18.151
9,4,get,36,19.460
9,4,get,37,19.035
9,4,get,38,21.607
9,4,get,39,24.167
9,4,get,40,21.484
9,4,get,41,17.966
9,4,get,42,20.966
9,4,get,43,18.108
9,4,get,44,18.566
9,4,get,45,18.299
9,4,get,46,22.003
9,4,get,47,23.776
9,4,get,48,19.357
9,4,get,49,23.059
