nodes,run,operation,attempt,latency_ms
5,0,put,0,9.332
5,0,put,1,9.239
5,0,put,2,8.723
5,0,put,3,8.451
5,0,put,4,8.290
5,0,put,5,8.516
5,0,put,6,10.819
5,0,put,7,8.587
5,0,put,8,10.255
5,0,put,9,8.951
5,0,put,10,9.610
5,0,put,11,9.519
5,0,put,12,10.091
5,0,put,13,9.661
5,0,put,14,9.248
5,0,put,15,9.275
5,0,put,16,8.984
5,0,put,17,8.424
5,0,put,18,8.579
5,0,put,19,8.770
5,0,put,20,9.610
5,0,put,21,8.978
5,0,put,22,9.379
5,0,put,23,9.356
5,0,put,24,9.029
5,0,put,25,9.274
5,0,put,26,9.062
5,0,put,27,10.144
5,0,put,28,9.332
5,0,put,29,9.215
5,0,put,30,8.959
5,0,put,31,8.911
5,0,put,32,8.655
5,0,put,33,9.274
5,0,put,34,9.332
5,0,put,35,8.448
5,0,put,36,10.850
5,0,put,37,9.453
5,0,put,38,9.485
5,0,put,39,9.835
5,0,put,40,8.614
5,0,put,41,9.552
5,0,put,42,9.336
5,0,put,43,8.082
5,0,put,44,9.241
5,0,put,45,8.380
5,0,put,46,8.597
5,0,put,47,9.229
5,0,put,48,8.896
5,0,put,49,9.754
5,0,get,0,4.727
5,0,get,1,3.926
5,0,get,2,4.017
5,0,get,3,3.152
5,0,get,4,3.247
5,0,get,5,2.926
5,0,get,6,2.517
5,0,get,7,3.163
5,0,get,8,3.629
5,0,get,9,2.699
5,0,get,10,3.413
5,0,get,11,3.312
5,0,get,12,2.895
5,0,get,13,3.116
5,0,get,14,2.669
5,0,get,15,2.870
5,0,get,16,3.641
5,0,get,17,4.417
5,0,get,18,3.371
5,0,get,19,2.753
5,0,get,20,2.770
5,0,get,21,2.819
5,0,get,22,2.627
5,0,get,23,3.465
5,0,get,24,2.613
5,0,get,25,3.413
5,0,get,26,2.757
5,0,get,27,3.214
5,0,get,28,2.764
5,0,get,29,2.972
5,0,get,30,4.373
5,0,get,31,3.521
5,0,get,32,3.420
5,0,get,33,3.592
5,0,get,34,2.849
5,0,get,35,3.151
5,0,get,36,2.779
5,0,get,37,3.355
5,0,get,38,2.917
5,0,get,39,3.562
5,0,get,40,3.009
5,0,get,41,3.424
5,0,get,42,3.577
5,0,get,43,2.638
5,0,get,44,2.899
5,0,get,45,3.368
5,0,get,46,2.698
5,0,get,47,3.540
5,0,get,48,2.925
5,0,get,49,3.293
5,1,put,0,8.354
5,1,put,1,8.064
5,1,put,2,9.524
5,1,put,3,8.468
5,1,put,4,10.745
5,1,put,5,8.152
5,1,put,6,9.380
5,1,put,7,9.650
5,1,put,8,9.491
5,1,put,9,9.458
5,1,put,10,8.939
5,1,put,11,9.708
5,1,put,12,8.917
5,1,put,13,9.018
5,1,put,14,8.944
5,1,put,15,8.421
5,1,put,16,9.128
5,1,put,17,9.588
5,1,put,18,9.183
5,1,put,19,9.777
5,1,put,20,9.189
5,1,put,21,9.199
5,1,put,22,8.921
5,1,put,23,8.296
5,1,put,24,8.843
5,1,put,25,9.148
5,1,put,26,9.536
5,1,put,27,8.595
5,1,put,28,9.695
5,1,put,29,9.003
5,1,put,30,8.358
5,1,put,31,8.963
5,1,put,32,10.528
5,1,put,33,10.226
5,1,put,34,9.178
5,1,put,35,8.118
5,1,put,36,9.441
5,1,put,37,8.384
5,1,put,38,8.349
5,1,put,39,9.130
5,1,put,40,8.218
5,1,put,41,8.327
5,1,put,42,8.762
5,1,put,43,9.353
5,1,put,44,12.340
5,1,put,45,9.090
5,1,put,46,8.443
5,1,put,47,7.719
5,1,put,48,9.057
5,1,put,49,11.474
5,1,get,0,3.217
5,1,get,1,3.318
5,1,get,2,7.622
5,1,get,3,2.862
5,1,get,4,2.929
5,1,get,5,2.703
5,1,get,6,3.242
5,1,get,7,2.704
5,1,get,8,2.746
5,1,get,9,3.192
5,1,get,10,4.070
5,1,get,11,3.384
5,1,get,12,3.041
5,1,get,13,3.271
5,1,get,14,3.047
5,1,get,15,2.920
5,1,get,16,3.485
5,1,get,17,3.084
5,1,get,18,2.905
5,1,get,19,3.175
5,1,get,20,2.790
5,1,get,21,2.772
5,1,get,22,3.083
5,1,get,23,2.640
5,1,get,24,7.155
5,1,get,25,3.462
5,1,get,26,2.809
5,1,get,27,3.749
5,1,get,28,3.818
5,1,get,29,4.408
5,1,get,30,4.217
5,1,get,31,5.602
5,1,get,32,3.101
5,1,get,33,5.218
5,1,get,34,3.699
5,1,get,35,5.707
5,1,get,36,3.166
5,1,get,37,5.149
5,1,get,38,3.278
5,1,get,39,3.471
5,1,get,40,5.160
5,1,get,41,4.338
5,1,get,42,4.334
5,1,get,43,13.558
5,1,get,44,5.243
5,1,get,45,11.489
5,1,get,46,8.379
5,1,get,47,3.342
5,1,get,48,4.235
5,1,get,49,4.224
5,2,put,0,8.936
5,2,put,1,9.738
5,2,put,2,8.397
5,2,put,3,9.618
5,2,put,4,9.323
5,2,put,5,8.605
5,2,put,6,9.851
5,2,put,7,9.517
5,2,put,8,9.561
5,2,put,9,9.594
5,2,put,10,8.443
5,2,put,11,8.902
5,2,put,12,8.735
5,2,put,13,9.180
5,2,put,14,9.714
5,2,put,15,9.740
5,2,put,16,8.174
5,2,put,17,8.603
5,2,put,18,8.293
5,2,put,19,9.103
5,2,put,20,8.789
5,2,put,21,8.947
5,2,put,22,9.389
5,2,put,23,8.520
5,2,put,24,9.515
5,2,put,25,9.848
5,2,put,26,9.469
5,2,put,27,9.758
5,2,put,28,8.580
5,2,put,29,8.419
5,2,put,30,9.696
5,2,put,31,8.245
5,2,put,32,9.362
5,2,put,33,8.954
5,2,put,34,9.289
5,2,put,35,9.943
5,2,put,36,10.133
5,2,put,37,9.509
5,2,put,38,9.897
5,2,put,39,9.219
5,2,put,40,10.631
5,2,put,41,9.650
5,2,put,42,8.683
5,2,put,43,8.323
5,2,put,44,10.359
5,2,put,45,8.676
5,2,put,46,9.056
5,2,put,47,7.922
5,2,put,48,10.239
5,2,put,49,8.588
5,2,get,0,3.651
5,2,get,1,2.964
5,2,get,2,2.804
5,2,get,3,3.196
5,2,get,4,2.783
5,2,get,5,2.424
5,2,get,6,2.647
5,2,get,7,3.356
5,2,get,8,2.635
5,2,get,9,2.243
5,2,get,10,3.533
5,2,get,11,3.771
5,2,get,12,3.283
5,2,get,13,2.950
5,2,get,14,3.091
5,2,get,15,2.872
5,2,get,16,4.225
5,2,get,17,2.948
5,2,get,18,3.399
5,2,get,19,2.395
5,2,get,20,3.091
5,2,get,21,4.755
5,2,get,22,3.219
5,2,get,23,3.728
5,2,get,24,3.426
5,2,get,25,3.763
5,2,get,26,3.017
5,2,get,27,3.048
5,2,get,28,4.054
5,2,get,29,3.488
5,2,get,30,2.875
5,2,get,31,2.752
5,2,get,32,2.872
5,2,get,33,2.790
5,2,get,34,2.729
5,2,get,35,2.291
5,2,get,36,2.584
5,2,get,37,3.548
5,2,get,38,5.958
5,2,get,39,3.519
5,2,get,40,3.987
5,2,get,41,3.356
5,2,get,42,2.513
5,2,get,43,3.460
5,2,get,44,3.514
5,2,get,45,3.461
5,2,get,46,2.873
5,2,get,47,2.535
5,2,get,48,3.110
5,2,get,49,2.672
5,3,put,0,12.473
5,3,put,1,9.746
5,3,put,2,8.605
5,3,put,3,8.678
5,3,put,4,8.925
5,3,put,5,8.261
5,3,put,6,8.993
5,3,put,7,10.005
5,3,put,8,8.399
5,3,put,9,8.766
5,3,put,10,8.969
5,3,put,11,8.522
5,3,put,12,8.905
5,3,put,13,10.199
5,3,put,14,8.527
5,3,put,15,8.655
5,3,put,16,8.327
5,3,put,17,9.594
5,3,put,18,9.429
5,3,put,19,8.284
5,3,put,20,9.442
5,3,put,21,8.918
5,3,put,22,8.658
5,3,put,23,8.696
5,3,put,24,9.240
5,3,put,25,8.259
5,3,put,26,9.036
5,3,put,27,8.542
5,3,put,28,8.707
5,3,put,29,8.626
5,3,put,30,9.123
5,3,put,31,8.866
5,3,put,32,9.001
5,3,put,33,8.672
5,3,put,34,9.429
5,3,put,35,8.945
5,3,put,36,9.192
5,3,put,37,8.876
5,3,put,38,8.862
5,3,put,39,9.843
5,3,put,40,11.939
5,3,put,41,10.032
5,3,put,42,9.346
5,3,put,43,8.953
5,3,put,44,9.126
5,3,put,45,8.834
5,3,put,46,8.650
5,3,put,47,9.467
5,3,put,48,10.083
5,3,put,49,8.431
5,3,get,0,3.119
5,3,get,1,3.192
5,3,get,2,5.225
5,3,get,3,3.191
5,3,get,4,3.105
5,3,get,5,3.048
5,3,get,6,3.157
5,3,get,7,2.586
5,3,get,8,2.232
5,3,get,9,2.684
5,3,get,10,3.273
5,3,get,11,3.597
5,3,get,12,2.838
5,3,get,13,2.578
5,3,get,14,3.009
5,3,get,15,2.798
5,3,get,16,2.987
5,3,get,17,3.294
5,3,get,18,4.509
5,3,get,19,3.439
5,3,get,20,2.477
5,3,get,21,2.640
5,3,get,22,2.574
5,3,get,23,2.312
5,3,get,24,2.969
5,3,get,25,2.601
5,3,get,26,2.468
5,3,get,27,2.554
5,3,get,28,2.548
5,3,get,29,2.824
5,3,get,30,2.839
5,3,get,31,2.176
5,3,get,32,2.948
5,3,get,33,2.376
5,3,get,34,2.697
5,3,get,35,2.975
5,3,get,36,2.821
5,3,get,37,2.664
5,3,get,38,2.653
5,3,get,39,2.920
5,3,get,40,2.663
5,3,get,41,3.267
5,3,get,42,3.180
5,3,get,43,2.945
5,3,get,44,3.250
5,3,get,45,2.628
5,3,get,46,2.665
5,3,get,47,3.288
5,3,get,48,2.886
5,3,get,49,3.028
5,4,put,0,8.548
5,4,put,1,10.144
5,4,put,2,9.771
5,4,put,3,11.791
5,4,put,4,8.213
5,4,put,5,9.595
5,4,put,6,9.627
5,4,put,7,9.068
5,4,put,8,16.655
5,4,put,9,9.748
5,4,put,10,9.360
5,4,put,11,9.956
5,4,put,12,9.361
5,4,put,13,9.440
5,4,put,14,8.195
5,4,put,15,9.386
5,4,put,16,8.049
5,4,put,17,8.369
5,4,put,18,8.981
5,4,put,19,8.606
5,4,put,20,9.084
5,4,put,21,9.566
5,4,put,22,9.189
5,4,put,23,11.108
5,4,put,24,9.064
5,4,put,25,8.636
5,4,put,26,8.755
5,4,put,27,9.138
5,4,put,28,9.581
5,4,put,29,8.794
5,4,put,30,9.442
5,4,put,31,9.880
5,4,put,32,9.732
5,4,put,33,9.385
5,4,put,34,8.915
5,4,put,35,8.733
5,4,put,36,10.013
5,4,put,37,8.436
5,4,put,38,9.473
5,4,put,39,9.599
5,4,put,40,9.082
5,4,put,41,8.136
5,4,put,42,9.563
5,4,put,43,9.336
5,4,put,44,8.724
5,4,put,45,8.522
5,4,put,46,8.517
5,4,put,47,8.910
5,4,put,48,8.910
5,4,put,49,8.320
5,4,get,0,3.168
5,4,get,1,3.510
5,4,get,2,2.814
5,4,get,3,3.071
5,4,get,4,3.218
5,4,get,5,2.850
5,4,get,6,3.017
5,4,get,7,2.651
5,4,get,8,3.197
5,4,get,9,2.874
5,4,get,10,2.454
5,4,get,11,2.818
5,4,get,12,2.969
5,4,get,13,2.979
5,4,get,14,2.211
5,4,get,15,2.434
5,4,get,16,2.498
5,4,get,17,2.167
5,4,get,18,2.757
5,4,get,19,3.347
5,4,get,20,2.483
5,4,get,21,2.516
5,4,get,22,2.529
5,4,get,23,3.297
5,4,get,24,2.762
5,4,get,25,2.767
5,4,get,26,2.841
5,4,get,27,3.013
5,4,get,28,2.956
5,4,get,29,2.585
5,4,get,30,2.359
5,4,get,31,2.867
5,4,get,32,2.776
5,4,get,33,2.169
5,4,get,34,2.894
5,4,get,35,2.689
5,4,get,36,2.754
5,4,get,37,3.108
5,4,get,38,2.749
5,4,get,39,3.268
5,4,get,40,2.662
5,4,get,41,2.881
5,4,get,42,2.931
5,4,get,43,3.268
5,4,get,44,3.098
5,4,get,45,2.469
5,4,get,46,3.452
5,4,get,47,2.728
5,4,get,48,2.598
5,4,get,49,2.477
