nodes,run,operation,attempt,latency_ms
9,0,put,0,8.078
9,0,put,1,9.021
9,0,put,2,11.069
9,0,put,3,9.391
9,0,put,4,9.125
9,0,put,5,8.696
9,0,put,6,8.623
9,0,put,7,9.750
9,0,put,8,8.178
9,0,put,9,9.069
9,0,put,10,8.758
9,0,put,11,8.783
9,0,put,12,8.380
9,0,put,13,8.283
9,0,put,14,8.470
9,0,put,15,8.650
9,0,put,16,9.250
9,0,put,17,8.998
9,0,put,18,8.834
9,0,put,19,9.576
9,0,put,20,8.130
9,0,put,21,8.646
9,0,put,22,13.565
9,0,put,23,9.044
9,0,put,24,10.030
9,0,put,25,9.781
9,0,put,26,9.255
9,0,put,27,8.473
9,0,put,28,8.305
9,0,put,29,9.200
9,0,put,30,11.563
9,0,put,31,8.150
9,0,put,32,9.014
9,0,put,33,9.688
9,0,put,34,8.774
9,0,put,35,9.754
9,0,put,36,7.774
9,0,put,37,8.937
9,0,put,38,8.228
9,0,put,39,9.625
9,0,put,40,8.421
9,0,put,41,8.668
9,0,put,42,9.395
9,0,put,43,8.644
9,0,put,44,8.460
9,0,put,45,7.808
9,0,put,46,8.782
9,0,put,47,10.624
9,0,put,48,14.784
9,0,put,49,9.619
9,0,get,0,4.296
9,0,get,1,2.771
9,0,get,2,2.859
9,0,get,3,3.440
9,0,get,4,3.049
9,0,get,5,2.767
9,0,get,6,2.948
9,0,get,7,3.079
9,0,get,8,2.767
9,0,get,9,2.878
9,0,get,10,2.698
9,0,get,11,2.227
9,0,get,12,2.634
9,0,get,13,2.670
9,0,get,14,3.526
9,0,get,15,2.763
9,0,get,16,2.671
9,0,get,17,3.199
9,0,get,18,5.151
9,0,get,19,3.397
9,0,get,20,3.076
9,0,get,21,3.355
9,0,get,22,2.853
9,0,get,23,3.135
9,0,get,24,3.284
9,0,get,25,4.335
9,0,get,26,3.724
9,0,get,27,3.118
9,0,get,28,2.747
9,0,get,29,2.934
9,0,get,30,2.965
9,0,get,31,8.243
9,0,get,32,4.256
9,0,get,33,3.853
9,0,get,34,2.950
9,0,get,35,2.688
9,0,get,36,2.580
9,0,get,37,2.828
9,0,get,38,2.882
9,0,get,39,3.043
9,0,get,40,2.782
9,0,get,41,2.753
9,0,get,42,2.796
9,0,get,43,2.464
9,0,get,44,2.934
9,0,get,45,2.799
9,0,get,46,2.535
9,0,get,47,3.249
9,0,get,48,2.873
9,0,get,49,3.304
9,1,put,0,8.830
9,1,put,1,8.393
9,1,put,2,9.139
9,1,put,3,8.719
9,1,put,4,7.956
9,1,put,5,8.908
9,1,put,6,8.535
9,1,put,7,8.484
9,1,put,8,8.326
9,1,put,9,8.439
9,1,put,10,9.982
9,1,put,11,8.120
9,1,put,12,9.693
9,1,put,13,8.699
9,1,put,14,7.899
9,1,put,15,9.046
9,1,put,16,9.390
9,1,put,17,8.635
9,1,put,18,8.886
9,1,put,19,8.698
9,1,put,20,8.434
9,1,put,21,9.527
9,1,put,22,8.855
9,1,put,23,8.121
9,1,put,24,9.007
9,1,put,25,9.304
9,1,put,26,8.506
9,1,put,27,10.060
9,1,put,28,8.174
9,1,put,29,8.565
9,1,put,30,8.481
9,1,put,31,8.855
9,1,put,32,8.471
9,1,put,33,10.240
9,1,put,34,8.497
9,1,put,35,8.835
9,1,put,36,9.221
9,1,put,37,7.930
9,1,put,38,8.608
9,1,put,39,9.078
9,1,put,40,7.875
9,1,put,41,9.187
9,1,put,42,8.291
9,1,put,43,8.850
9,1,put,44,8.756
9,1,put,45,8.856
9,1,put,46,8.309
9,1,put,47,8.778
9,1,put,48,8.408
9,1,put,49,8.044
9,1,get,0,3.975
9,1,get,1,3.242
9,1,get,2,3.104
9,1,get,3,2.975
9,1,get,4,2.521
9,1,get,5,2.653
9,1,get,6,2.361
9,1,get,7,3.165
9,1,get,8,2.924
9,1,get,9,2.752
9,1,get,10,3.078
9,1,get,11,3.566
9,1,get,12,2.817
9,1,get,13,3.357
9,1,get,14,2.725
9,1,get,15,3.094
9,1,get,16,3.886
9,1,get,17,2.741
9,1,get,18,3.010
9,1,get,19,2.919
9,1,get,20,2.340
9,1,get,21,2.339
9,1,get,22,2.558
9,1,get,23,3.247
9,1,get,24,3.662
9,1,get,25,2.538
9,1,get,26,2.908
9,1,get,27,2.877
9,1,get,28,2.813
9,1,get,29,3.401
9,1,get,30,2.592
9,1,get,31,2.803
9,1,get,32,2.918
9,1,get,33,3.659
9,1,get,34,2.517
9,1,get,35,2.700
9,1,get,36,2.311
9,1,get,37,2.424
9,1,get,38,2.600
9,1,get,39,3.409
9,1,get,40,3.102
9,1,get,41,2.688
9,1,get,42,2.390
9,1,get,43,2.769
9,1,get,44,2.625
9,1,get,45,2.662
9,1,get,46,2.171
9,1,get,47,2.634
9,1,get,48,2.861
9,1,get,49,2.300
9,2,put,0,9.251
9,2,put,1,8.735
9,2,put,2,8.160
9,2,put,3,8.245
9,2,put,4,8.502
9,2,put,5,8.582
9,2,put,6,18.939
9,2,put,7,9.140
9,2,put,8,7.982
9,2,put,9,8.762
9,2,put,10,9.571
9,2,put,11,8.605
9,2,put,12,7.634
9,2,put,13,8.357
9,2,put,14,9.498
9,2,put,15,8.648
9,2,put,16,9.498
9,2,put,17,8.320
9,2,put,18,7.392
9,2,put,19,9.247
9,2,put,20,8.576
