nodes,run,operation,attempt,latency_ms
20,0,put,0,8.655
20,0,put,1,12.041
20,0,put,2,10.326
20,0,put,3,10.309
20,0,put,4,10.190
20,0,put,5,10.126
20,0,put,6,11.991
20,0,put,7,8.608
20,0,put,8,13.303
20,0,put,9,9.341
20,0,put,10,9.799
20,0,put,11,12.599
20,0,put,12,9.255
20,0,put,13,10.573
20,0,put,14,13.923
20,0,put,15,13.693
20,0,put,16,13.810
20,0,put,17,8.633
20,0,put,18,10.253
20,0,put,19,12.065
20,0,put,20,14.629
20,0,put,21,10.235
20,0,put,22,13.861
20,0,put,23,12.978
20,0,put,24,13.862
20,0,put,25,9.283
20,0,put,26,13.542
20,0,put,27,13.867
20,0,put,28,13.518
20,0,put,29,14.452
20,0,put,30,10.446
20,0,put,31,13.521
20,0,put,32,8.680
20,0,put,33,13.964
20,0,put,34,10.442
20,0,put,35,15.418
20,0,put,36,10.192
20,0,put,37,10.705
20,0,put,38,14.442
20,0,put,39,15.096
20,0,put,40,10.740
20,0,put,41,14.925
20,0,put,42,14.498
20,0,put,43,23.339
20,0,put,44,13.984
20,0,put,45,12.178
20,0,put,46,23.194
20,0,put,47,16.915
20,0,put,48,15.205
20,0,put,49,16.299
20,0,get,0,3.496
20,0,get,1,2.809
20,0,get,2,3.423
20,0,get,3,2.706
20,0,get,4,2.849
20,0,get,5,3.440
20,0,get,6,3.075
20,0,get,7,3.500
20,0,get,8,2.634
20,0,get,9,3.574
20,0,get,10,6.400
20,0,get,11,2.951
20,0,get,12,3.225
20,0,get,13,3.917
20,0,get,14,2.200
20,0,get,15,2.903
20,0,get,16,2.655
20,0,get,17,2.859
20,0,get,18,3.081
20,0,get,19,2.834
20,0,get,20,2.808
20,0,get,21,3.408
20,0,get,22,3.323
20,0,get,23,2.875
20,0,get,24,3.293
20,0,get,25,7.137
20,0,get,26,2.984
20,0,get,27,2.211
20,0,get,28,2.721
20,0,get,29,3.277
20,0,get,30,3.393
20,0,get,31,2.771
20,0,get,32,2.709
20,0,get,33,3.307
20,0,get,34,2.621
20,0,get,35,2.483
20,0,get,36,2.210
20,0,get,37,2.755
20,0,get,38,2.356
20,0,get,39,2.851
20,0,get,40,3.097
20,0,get,41,3.043
20,0,get,42,5.266
20,0,get,43,3.280
20,0,get,44,2.592
20,0,get,45,3.171
20,0,get,46,2.823
20,0,get,47,3.959
20,0,get,48,3.378
20,0,get,49,3.305
20,1,put,0,13.116
20,1,put,1,8.620
20,1,put,2,14.361
20,1,put,3,13.571
20,1,put,4,14.061
20,1,put,5,13.677
20,1,put,6,10.605
20,1,put,7,16.721
20,1,put,8,13.989
20,1,put,9,9.987
20,1,put,10,10.042
20,1,put,11,15.979
20,1,put,12,11.755
20,1,put,13,11.654
20,1,put,14,10.641
20,1,put,15,17.520
20,1,put,16,8.909
20,1,put,17,11.250
20,1,put,18,16.230
20,1,put,19,14.063
20,1,put,20,14.154
20,1,put,21,14.141
20,1,put,22,13.732
20,1,put,23,13.670
20,1,put,24,14.282
20,1,put,25,15.222
20,1,put,26,13.771
20,1,put,27,13.409
20,1,put,28,9.277
20,1,put,29,18.578
20,1,put,30,13.670
20,1,put,31,8.144
20,1,put,32,16.810
20,1,put,33,14.725
20,1,put,34,14.389
20,1,put,35,13.441
20,1,put,36,14.357
20,1,put,37,14.501
20,1,put,38,13.460
20,1,put,39,10.574
20,1,put,40,10.358
20,1,put,41,18.062
20,1,put,42,14.219
20,1,put,43,11.149
20,1,put,44,14.251
20,1,put,45,15.368
20,1,put,46,14.672
20,1,put,47,11.076
20,1,put,48,16.159
20,1,put,49,13.570
20,1,get,0,2.527
20,1,get,1,3.194
20,1,get,2,3.010
20,1,get,3,3.185
20,1,get,4,2.690
20,1,get,5,3.579
20,1,get,6,5.528
20,1,get,7,2.876
20,1,get,8,2.686
20,1,get,9,2.607
20,1,get,10,3.106
20,1,get,11,2.927
20,1,get,12,3.016
20,1,get,13,2.638
20,1,get,14,3.191
20,1,get,15,2.767
20,1,get,16,3.156
20,1,get,17,2.850
20,1,get,18,3.309
20,1,get,19,2.663
20,1,get,20,2.641
20,1,get,21,2.495
20,1,get,22,6.804
20,1,get,23,2.776
20,1,get,24,2.501
20,1,get,25,2.691
20,1,get,26,3.056
20,1,get,27,3.208
20,1,get,28,3.786
20,1,get,29,2.604
20,1,get,30,2.627
20,1,get,31,2.874
20,1,get,32,2.741
20,1,get,33,2.387
20,1,get,34,2.867
20,1,get,35,3.132
20,1,get,36,2.590
20,1,get,37,2.811
20,1,get,38,6.147
20,1,get,39,3.638
20,1,get,40,3.336
20,1,get,41,2.701
20,1,get,42,3.331
