nodes,run,operation,attempt,latency_ms
5,0,put,0,25.058
5,0,put,1,24.802
5,0,put,2,24.520
5,0,put,3,23.695
5,0,put,4,25.440
5,0,put,5,25.383
5,0,put,6,26.047
5,0,put,7,24.265
5,0,put,8,22.979
5,0,put,9,24.777
5,0,put,10,25.112
5,0,put,11,22.251
5,0,put,12,24.899
5,0,put,13,23.139
5,0,put,14,23.545
5,0,put,15,24.304
5,0,put,16,24.367
5,0,put,17,22.858
5,0,put,18,22.939
5,0,put,19,22.366
5,0,put,20,23.794
5,0,put,21,25.274
5,0,put,22,22.720
5,0,put,23,23.487
5,0,put,24,24.127
5,0,put,25,24.822
5,0,put,26,25.570
5,0,put,27,24.541
5,0,put,28,25.570
5,0,put,29,22.238
5,0,put,30,24.170
5,0,put,31,22.867
5,0,put,32,23.770
5,0,put,33,23.917
5,0,put,34,24.630
5,0,put,35,25.756
5,0,put,36,25.712
5,0,put,37,26.167
5,0,put,38,26.541
5,0,put,39,26.408
5,0,put,40,25.194
5,0,put,41,25.593
5,0,put,42,24.448
5,0,put,43,24.894
5,0,put,44,22.473
5,0,put,45,22.218
5,0,put,46,23.662
5,0,put,47,24.264
5,0,put,48,23.223
5,0,put,49,23.540
5,0,get,0,17.718
5,0,get,1,20.547
5,0,get,2,16.986
5,0,get,3,17.642
5,0,get,4,16.405
5,0,get,5,18.113
5,0,get,6,17.986
5,0,get,7,15.835
5,0,get,8,17.804
5,0,get,9,16.240
5,0,get,10,18.243
5,0,get,11,17.634
5,0,get,12,17.337
5,0,get,13,17.338
5,0,get,14,18.677
5,0,get,15,16.408
5,0,get,16,17.586
5,0,get,17,18.685
5,0,get,18,16.546
5,0,get,19,19.255
5,0,get,20,18.321
5,0,get,21,15.982
5,0,get,22,17.621
5,0,get,23,18.984
5,0,get,24,16.571
5,0,get,25,17.657
5,0,get,26,18.261
5,0,get,27,16.731
5,0,get,28,21.876
5,0,get,29,18.131
5,0,get,30,16.942
5,0,get,31,18.791
5,0,get,32,17.786
5,0,get,33,17.152
5,0,get,34,18.445
5,0,get,35,18.668
5,0,get,36,17.050
5,0,get,37,19.632
5,0,get,38,19.314
5,0,get,39,18.209
5,0,get,40,19.938
5,0,get,41,23.093
5,0,get,42,17.166
5,0,get,43,17.927
5,0,get,44,19.754
5,0,get,45,20.768
5,0,get,46,23.771
5,0,get,47,19.606
5,0,get,48,19.463
5,0,get,49,17.987
5,1,put,0,24.633
5,1,put,1,24.213
5,1,put,2,24.443
5,1,put,3,24.496
5,1,put,4,26.491
5,1,put,5,25.756
5,1,put,6,25.513
5,1,put,7,25.641
5,1,put,8,24.431
5,1,put,9,27.580
5,1,put,10,24.991
5,1,put,11,26.338
5,1,put,12,23.727
5,1,put,13,24.679
5,1,put,14,21.864
5,1,put,15,23.303
5,1,put,16,23.531
5,1,put,17,22.649
5,1,put,18,26.010
5,1,put,19,24.612
5,1,put,20,23.145
5,1,put,21,24.683
5,1,put,22,24.122
5,1,put,23,24.729
5,1,put,24,26.849
5,1,put,25,21.340
5,1,put,26,24.555
5,1,put,27,25.166
5,1,put,28,25.133
5,1,put,29,22.863
5,1,put,30,22.654
5,1,put,31,23.182
5,1,put,32,23.459
5,1,put,33,22.249
5,1,put,34,24.479
5,1,put,35,22.737
5,1,put,36,23.166
5,1,put,37,23.524
5,1,put,38,22.798
5,1,put,39,23.003
5,1,put,40,23.915
5,1,put,41,23.029
5,1,put,42,25.929
5,1,put,43,44.642
5,1,put,44,28.538
5,1,put,45,24.720
5,1,put,46,24.461
5,1,put,47,25.261
5,1,put,48,24.971
5,1,put,49,22.360
5,1,get,0,17.497
5,1,get,1,17.578
5,1,get,2,16.116
5,1,get,3,17.786
5,1,get,4,18.066
5,1,get,5,17.528
5,1,get,6,19.176
5,1,get,7,22.783
5,1,get,8,17.395
5,1,get,9,18.941
5,1,get,10,19.929
5,1,get,11,19.013
5,1,get,12,19.964
5,1,get,13,19.674
5,1,get,14,17.325
5,1,get,15,18.417
5,1,get,16,18.988
5,1,get,17,16.787
5,1,get,18,17.858
5,1,get,19,18.023
5,1,get,20,17.136
5,1,get,21,19.014
5,1,get,22,18.564
5,1,get,23,16.784
5,1,get,24,18.565
5,1,get,25,19.100
5,1,get,26,16.938
5,1,get,27,17.757
5,1,get,28,15.782
5,1,get,29,17.199
5,1,get,30,16.214
5,1,get,31,17.668
5,1,get,32,18.712
5,1,get,33,17.382
5,1,get,34,18.276
5,1,get,35,20.065
5,1,get,36,16.419
5,1,get,37,19.040
5,1,get,38,22.272
5,1,get,39,17.502
5,1,get,40,19.190
5,1,get,41,20.001
5,1,get,42,19.878
5,1,get,43,20.819
5,1,get,44,19.826
5,1,get,45,16.535
5,1,get,46,18.074
5,1,get,47,17.225
5,1,get,48,15.560
5,1,get,49,17.005
5,2,put,0,21.787
5,2,put,1,24.223
5,2,put,2,23.805
5,2,put,3,22.238
5,2,put,4,25.099
5,2,put,5,26.471
5,2,put,6,26.144
5,2,put,7,25.747
5,2,put,8,28.008
5,2,put,9,28.797
5,2,put,10,30.742
5,2,put,11,25.160
5,2,put,12,24.704
5,2,put,13,26.161
5,2,put,14,23.687
5,2,put,15,24.061
5,2,put,16,23.099
5,2,put,17,28.564
5,2,put,18,23.938
5,2,put,19,22.276
5,2,put,20,24.164
5,2,put,21,22.625
5,2,put,22,21.604
5,2,put,23,22.239
5,2,put,24,22.169
5,2,put,25,21.014
5,2,put,26,23.086
5,2,put,27,22.238
5,2,put,28,20.763
5,2,put,29,22.428
5,2,put,30,22.580
5,2,put,31,21.356
5,2,put,32,23.547
5,2,put,33,23.864
5,2,put,34,23.101
5,2,put,35,25.685
5,2,put,36,25.527
5,2,put,37,23.713
5,2,put,38,23.825
5,2,put,39,23.631
5,2,put,40,24.372
5,2,put,41,23.506
5,2,put,42,22.324
5,2,put,43,24.328
5,2,put,44,24.218
5,2,put,45,22.488
5,2,put,46,24.587
5,2,put,47,23.131
5,2,put,48,21.452
5,2,put,49,22.129
5,2,get,0,16.288
5,2,get,1,15.142
5,2,get,2,15.787
5,2,get,3,15.447
5,2,get,4,17.730
5,2,get,5,16.102
5,2,get,6,16.985
5,2,get,7,16.019
5,2,get,8,17.570
5,2,get,9,15.887
5,2,get,10,17.001
5,2,get,11,15.323
5,2,get,12,16.323
5,2,get,13,16.135
5,2,get,14,18.017
5,2,get,15,14.611
5,2,get,16,16.009
5,2,get,17,16.396
5,2,get,18,16.693
5,2,get,19,15.907
5,2,get,20,17.858
5,2,get,21,15.478
5,2,get,22,16.700
5,2,get,23,15.124
5,2,get,24,17.527
5,2,get,25,17.143
5,2,get,26,15.497
5,2,get,27,16.479
5,2,get,28,15.880
5,2,get,29,16.888
5,2,get,30,15.520
5,2,get,31,17.486
5,2,get,32,15.541
5,2,get,33,16.623
5,2,get,34,15.081
5,2,get,35,16.607
5,2,get,36,15.148
5,2,get,37,16.798
5,2,get,38,16.063
5,2,get,39,16.797
5,2,get,40,15.582
5,2,get,41,16.741
5,2,get,42,16.050
5,2,get,43,18.458
5,2,get,44,17.900
5,2,get,45,17.225
5,2,get,46,19.191
5,2,get,47,18.016
5,2,get,48,17.599
5,2,get,49,18.162
5,3,put,0,25.727
5,3,put,1,25.144
5,3,put,2,26.026
5,3,put,3,25.032
5,3,put,4,25.264
5,3,put,5,25.452
5,3,put,6,25.079
5,3,put,7,24.222
5,3,put,8,23.620
5,3,put,9,22.521
5,3,put,10,24.453
5,3,put,11,23.191
5,3,put,12,22.638
5,3,put,13,21.926
5,3,put,14,23.561
5,3,put,15,22.872
5,3,put,16,23.487
5,3,put,17,23.487
5,3,put,18,22.378
5,3,put,19,23.892
5,3,put,20,24.758
5,3,put,21,22.160
5,3,put,22,23.954
5,3,put,23,24.204
5,3,put,24,25.134
5,3,put,25,23.212
5,3,put,26,22.898
5,3,put,27,23.802
5,3,put,28,21.984
5,3,put,29,23.224
5,3,put,30,21.941
5,3,put,31,21.446
5,3,put,32,24.607
5,3,put,33,26.620
5,3,put,34,25.183
5,3,put,35,24.963
5,3,put,36,26.210
5,3,put,37,25.151
5,3,put,38,22.536
5,3,put,39,23.974
5,3,put,40,23.002
5,3,put,41,21.723
5,3,put,42,22.747
5,3,put,43,22.633
5,3,put,44,21.583
5,3,put,45,22.532
5,3,put,46,23.272
5,3,put,47,20.976
5,3,put,48,23.275
5,3,put,49,22.102
5,3,get,0,15.756
5,3,get,1,17.379
5,3,get,2,18.077
5,3,get,3,15.657
5,3,get,4,16.659
5,3,get,5,15.694
5,3,get,6,16.707
5,3,get,7,15.395
5,3,get,8,17.098
5,3,get,9,17.909
5,3,get,10,15.685
5,3,get,11,16.658
5,3,get,12,15.878
5,3,get,13,17.084
5,3,get,14,15.647
5,3,get,15,17.500
5,3,get,16,15.605
5,3,get,17,16.791
5,3,get,18,15.766
5,3,get,19,17.063
5,3,get,20,15.651
5,3,get,21,17.209
5,3,get,22,15.775
5,3,get,23,17.099
5,3,get,26,17.603
5,3,get,27,17.398
5,3,get,28,19.500
5,3,get,29,17.871
5,3,get,31,26.605
5,3,get,32,22.569
5,3,get,33,18.452
5,3,get,34,22.951
5,3,get,35,20.729
5,3,get,36,20.448
5,3,get,37,23.887
5,3,get,38,18.827
5,3,get,39,19.263
5,3,get,40,20.740
5,3,get,41,21.915
5,3,get,42,20.119
5,3,get,43,20.143
5,3,get,44,19.310
5,3,get,45,18.034
5,3,get,46,19.295
5,3,get,47,22.893
5,3,get,48,17.557
5,3,get,49,21.406
5,4,put,0,26.427
5,4,put,1,27.884
5,4,put,2,30.028
5,4,put,3,25.737
5,4,put,4,27.507
5,4,put,5,29.369
5,4,put,6,25.996
5,4,put,7,26.426
5,4,put,8,25.125
5,4,put,9,27.772
5,4,put,10,26.030
5,4,put,11,25.928
5,4,put,12,26.799
5,4,put,13,26.738
5,4,put,14,25.764
5,4,put,15,25.045
5,4,put,16,26.517
5,4,put,17,29.824
5,4,put,18,24.097
5,4,put,19,23.226
5,4,put,20,24.842
5,4,put,21,26.903
5,4,put,22,28.197
5,4,put,23,27.954
5,4,put,24,27.413
5,4,put,25,25.675
5,4,put,26,26.120
5,4,put,27,29.097
5,4,put,28,26.767
5,4,put,29,25.123
5,4,put,30,25.081
5,4,put,31,24.396
5,4,put,32,23.102
5,4,put,33,24.794
5,4,put,34,26.525
5,4,put,35,23.752
5,4,put,36,22.572
5,4,put,37,23.815
5,4,put,38,45.769
5,4,put,39,21.931
5,4,put,40,24.008
5,4,put,41,22.752
5,4,put,42,38.994
5,4,put,43,24.235
5,4,put,44,25.851
5,4,put,45,28.542
5,4,put,46,25.413
5,4,put,47,27.464
5,4,put,48,25.451
5,4,put,49,25.193
5,4,get,0,17.839
5,4,get,1,18.658
5,4,get,2,18.339
5,4,get,3,18.735
5,4,get,4,17.970
5,4,get,5,18.720
